date,fixed,generation,t,price
2016-03-01,0.023000000000024556,1.3389999999999418,11,30.06
2016-03-01,0.049999999999954525,2.456000000000131,12,28.8
2016-03-01,0.4370000000000118,1.875,13,27.96
2016-03-01,0.36000000000001364,0.6389999999998963,14,25.55
2016-03-01,0.04399999999998272,1.2080000000000837,15,25.48
2016-03-01,0.01599999999996271,0.3830000000000382,16,23.97
2016-03-01,0.047000000000025466,0.0,17,26.95
2016-03-01,0.014000000000010004,0.0,18,26.0
2016-03-01,0.06000000000005912,0.0,19,22.63
2016-03-01,0.013999999999896318,0.0,20,21.26
2016-03-01,0.02800000000002001,0.0,21,19.52
2016-03-01,0.033999999999991815,0.0,22,18.39
2016-03-01,0.020000000000095497,0.0,23,17.06
2016-03-02,0.05299999999999727,0.0,0,10.58
2016-03-02,0.014000000000010004,0.0,1,13.56
2016-03-02,0.032999999999901775,0.0,2,12.69
2016-03-02,0.031000000000062755,0.0,3,12.62
2016-03-02,0.022000000000048203,0.0,4,13.27
2016-03-02,0.04699999999991178,0.0,5,15.85
2016-03-02,0.014000000000010004,0.1089999999999236,6,21.45
2016-03-02,0.043000000000006366,0.4410000000000309,7,23.08
2016-03-02,0.02900000000011005,0.9390000000000782,8,25.96
2016-03-02,0.036999999999920874,0.875,9,24.68
2016-03-02,0.03499999999996817,1.365000000000009,10,26.7
2016-03-02,0.014000000000010004,2.40099999999984,11,28.0
2016-03-02,0.06000000000005912,2.1900000000000546,12,27.43
2016-03-02,0.02299999999991087,0.8900000000001,13,26.0
2016-03-02,0.035000000000081855,0.8399999999999181,14,25.92
2016-03-02,0.029999999999972715,0.3650000000000091,15,28.06
2016-03-02,0.01999999999998181,0.023999999999887223,16,28.56
2016-03-02,0.05700000000001637,0.0,17,31.99
2016-03-02,0.013000000000033651,0.0,18,40.0
2016-03-02,0.03799999999989723,0.0,19,36.87
2016-03-02,0.035000000000081855,0.0,20,30.99
2016-03-02,0.022000000000048203,0.0,21,27.07
2016-03-02,0.053999999999973625,0.0,22,24.27
2016-03-02,0.013999999999896318,0.0,23,21.58
2016-03-03,0.019000000000119144,0.0,0,20.02
2016-03-03,0.04899999999997817,0.0,1,19.29
2016-03-03,0.020999999999958163,0.0,2,18.64
2016-03-03,0.04600000000004911,0.0,3,17.93
2016-03-03,0.017999999999915417,0.0,4,18.26
2016-03-03,0.014000000000010004,0.0,5,19.38
2016-03-03,0.06100000000003547,0.2760000000000673,6,24.58
2016-03-03,0.014000000000010004,0.8589999999999236,7,30.93
2016-03-03,0.03200000000003911,1.68100000000004,8,31.04
2016-03-03,0.03199999999992542,3.5550000000000637,9,30.94
2016-03-03,0.37200000000007094,4.611000000000104,10,30.57
2016-03-03,1.8669999999999618,1.043999999999869,11,31.94
2016-03-03,1.7660000000000764,1.0550000000000637,12,30.07
2016-03-03,0.9649999999999181,0.7449999999998909,13,30.53
2016-03-03,0.9589999999999463,1.2640000000001237,14,30.06
2016-03-03,0.6220000000000709,0.22100000000000364,15,30.97
2016-03-03,0.049999999999954525,0.20899999999983265,16,30.96
2016-03-03,0.014000000000010004,0.0,17,32.85
2016-03-03,0.047000000000025466,0.0,18,42.71
2016-03-03,0.038000000000010914,0.0,19,42.92
2016-03-03,0.014999999999986358,0.0,20,33.98
2016-03-03,0.049999999999954525,0.0,21,28.97
2016-03-03,0.014000000000010004,0.0,22,25.92
2016-03-03,0.05200000000002092,0.0,23,23.11
2016-03-04,0.022000000000048203,0.0,0,22.15
2016-03-04,0.012999999999919964,0.0,1,20.03
2016-03-04,0.04900000000009186,0.0,2,19.75
2016-03-04,0.01999999999998181,0.0,3,19.19
2016-03-04,0.04600000000004911,0.0,4,18.99
2016-03-04,0.020999999999958163,0.0,5,20.18
2016-03-04,0.013000000000033651,0.30100000000015825,6,26.92
2016-03-04,0.05599999999992633,1.6089999999999236,7,31.73
2016-03-04,0.020999999999958163,2.6059999999999945,8,33.97
2016-03-04,0.04100000000005366,2.7450000000001182,9,30.04
2016-03-04,0.021999999999934516,2.334999999999809,10,26.69
2016-03-04,0.031000000000062755,3.005000000000109,11,23.78
2016-03-04,0.04600000000004911,2.849999999999909,12,22.48
2016-03-04,0.014000000000010004,1.5340000000001055,13,21.78
2016-03-04,0.04799999999988813,1.5609999999999218,14,21.86
2016-03-04,0.014000000000010004,0.55600000000004,15,22.48
2016-03-04,0.04899999999997817,0.1089999999999236,16,24.17
2016-03-04,0.022000000000048203,0.0,17,29.2
2016-03-04,0.03499999999996817,0.0,18,33.99
2016-03-04,0.030000000000086402,0.0,19,31.06
2016-03-04,0.021999999999934516,0.0,20,27.9
2016-03-04,0.044000000000096406,0.0,21,23.52
2016-03-04,0.020999999999958163,0.0,22,23.8
2016-03-04,0.04899999999997817,0.0,23,21.55
2016-03-05,0.014999999999986358,0.0,0,19.15
2016-03-05,0.043000000000006366,0.0,1,19.17
2016-03-05,0.024999999999977263,0.0,2,19.04
2016-03-05,0.025999999999953616,0.0,3,18.96
2016-03-05,0.04000000000007731,0.0,4,18.88
